"[Município]","Cód. IBGE","UF","Região","Fabricante","Total de doses aplicadas","1ª Dose D1","2ª Dose D2","Dose Adicional DA","Dose Reforço DR","Dose Única DU"
"Arinos","00000000310450","MG","Sudeste","FIOCRUZ/ASTRAZENECA","10,826","5,567","4,742","0","517","0"
"Arinos","00000000310450","MG","Sudeste","JANSSEN","399","0","0","0","100","299"
"Arinos","00000000310450","MG","Sudeste","PFIZER/BIONTECH","10,831","4,964","3,229","66","2,572","0"
"Aripuanã","00000000510140","MT","Centro-Oeste","BUTANTAN/SINOVAC","7,016","3,765","3,131","1","119","0"
"Aripuanã","00000000510140","MT","Centro-Oeste","FIOCRUZ/ASTRAZENECA","8,429","4,064","4,090","1","274","0"
"Aripuanã","00000000510140","MT","Centro-Oeste","JANSSEN","733","0","0","19","161","553"
"Aripuanã","00000000510140","MT","Centro-Oeste","PFIZER/BIONTECH","17,621","9,617","6,084","210","1,710","0"
"Ariquemes","00000000110002","RO","Norte","BUTANTAN/SINOVAC","30,825","16,408","14,406","10","1","0"
"Ariquemes","00000000110002","RO","Norte","FIOCRUZ/ASTRAZENECA","45,649","23,599","21,886","67","97","0"
"Ariquemes","00000000110002","RO","Norte","JANSSEN","3,412","2,286","842","116","96","72"
"Ariquemes","00000000110002","RO","Norte","PFIZER/BIONTECH","61,615","32,567","23,901","2,195","2,952","0"
"Ariranha","00000000350370","SP","Sudeste","BUTANTAN/SINOVAC","6,114","2,453","2,548","23","1,090","0"
"Ariranha","00000000350370","SP","Sudeste","FIOCRUZ/ASTRAZENECA","5,400","2,546","2,854","0","0","0"
"Ariranha","00000000350370","SP","Sudeste","JANSSEN","363","0","0","0","103","260"
"Ariranha","00000000350370","SP","Sudeste","PFIZER/BIONTECH","5,648","1,953","1,746","16","1,933","0"
"Ariranha Do Ivaí","00000000410185","PR","Sul","BUTANTAN/SINOVAC","1,349","687","662","0","0","0"
"Ariranha Do Ivaí","00000000410185","PR","Sul","FIOCRUZ/ASTRAZENECA","1,811","883","861","0","67","0"
"Ariranha Do Ivaí","00000000410185","PR","Sul","JANSSEN","129","0","0","0","93","36"
"Ariranha Do Ivaí","00000000410185","PR","Sul","PFIZER/BIONTECH","1,753","578","490","0","685","0"
"Armação Dos Búzios","00000000330023","RJ","Sudeste","BUTANTAN/SINOVAC","13,263","7,387","5,876","0","0","0"
"Armação Dos Búzios","00000000330023","RJ","Sudeste","FIOCRUZ/ASTRAZENECA","19,964","11,428","8,528","8","0","0"
"Armação Dos Búzios","00000000330023","RJ","Sudeste","JANSSEN","792","0","0","200","10","582"
"Armação Dos Búzios","00000000330023","RJ","Sudeste","PFIZER/BIONTECH","22,926","11,406","6,789","266","4,465","0"
"Armazém","00000000420150","SC","Sul","BUTANTAN/SINOVAC","2,559","1,334","1,224","0","1","0"
"Armazém","00000000420150","SC","Sul","FIOCRUZ/ASTRAZENECA","6,270","3,244","3,024","1","1","0"
"Armazém","00000000420150","SC","Sul","JANSSEN","544","0","0","1","201","342"
"Armazém","00000000420150","SC","Sul","PFIZER/BIONTECH","6,430","2,336","1,819","34","2,241","0"
"Arneiroz","00000000230150","CE","Nordeste","BUTANTAN/SINOVAC","1,018","768","250","0","0","0"
"Arneiroz","00000000230150","CE","Nordeste","FIOCRUZ/ASTRAZENECA","566","345","152","0","69","0"
"Arneiroz","00000000230150","CE","Nordeste","JANSSEN","50","0","0","48","0","2"
"Arneiroz","00000000230150","CE","Nordeste","PFIZER/BIONTECH","291","4","16","1","270","0"
"Aroazes","00000000220090","PI","Nordeste","BUTANTAN/SINOVAC","2,961","1,612","1,349","0","0","0"
"Aroazes","00000000220090","PI","Nordeste","FIOCRUZ/ASTRAZENECA","3,430","1,723","1,707","0","0","0"
"Aroazes","00000000220090","PI","Nordeste","JANSSEN","165","0","0","0","75","90"
"Aroazes","00000000220090","PI","Nordeste","PFIZER/BIONTECH","3,830","1,726","1,374","0","730","0"
"Aroeiras","00000000250130","PB","Nordeste","BUTANTAN/SINOVAC","8,254","4,276","3,977","1","0","0"
"Aroeiras","00000000250130","PB","Nordeste","FIOCRUZ/ASTRAZENECA","9,451","4,703","4,424","0","324","0"
"Aroeiras","00000000250130","PB","Nordeste","JANSSEN","522","0","0","0","213","309"
"Aroeiras","00000000250130","PB","Nordeste","PFIZER/BIONTECH","13,073","5,945","3,648","1","3,479","0"
"Aroeiras Do Itaim","00000000220095","PI","Nordeste","BUTANTAN/SINOVAC","1,617","837","780","0","0","0"
"Aroeiras Do Itaim","00000000220095","PI","Nordeste","FIOCRUZ/ASTRAZENECA","1,319","667","652","0","0","0"
"Aroeiras Do Itaim","00000000220095","PI","Nordeste","JANSSEN","35","0","0","0","0","35"
"Aroeiras Do Itaim","00000000220095","PI","Nordeste","PFIZER/BIONTECH","935","495","393","0","47","0"
"Arraial","00000000220100","PI","Nordeste","BUTANTAN/SINOVAC","1,951","1,028","922","0","1","0"
"Arraial","00000000220100","PI","Nordeste","FIOCRUZ/ASTRAZENECA","2,736","1,300","1,291","0","145","0"
"Arraial","00000000220100","PI","Nordeste","JANSSEN","162","0","0","22","74","66"
"Arraial","00000000220100","PI","Nordeste","PFIZER/BIONTECH","3,962","1,535","1,221","0","1,206","0"
"Arraial Do Cabo","00000000330025","RJ","Sudeste","BUTANTAN/SINOVAC","13,876","7,665","6,201","3","7","0"
"Arraial Do Cabo","00000000330025","RJ","Sudeste","FIOCRUZ/ASTRAZENECA","22,113","11,446","8,748","542","1,377","0"
"Arraial Do Cabo","00000000330025","RJ","Sudeste","JANSSEN","936","0","0","33","194","709"
"Arraial Do Cabo","00000000330025","RJ","Sudeste","PFIZER/BIONTECH","22,112","9,307","7,951","924","3,930","0"
"Arraias","00000000170240","TO","Norte","BUTANTAN/SINOVAC","4,494","2,388","2,072","1","33","0"
"Arraias","00000000170240","TO","Norte","FIOCRUZ/ASTRAZENECA","7,609","3,916","3,663","0","30","0"
"Arraias","00000000170240","TO","Norte","JANSSEN","290","0","0","0","0","290"
"Arraias","00000000170240","TO","Norte","PFIZER/BIONTECH","4,569","1,894","1,221","6","1,448","0"
"Arroio Do Meio","00000000430100","RS","Sul","BUTANTAN/SINOVAC","9,011","4,659","4,352","0","0","0"
"Arroio Do Meio","00000000430100","RS","Sul","FIOCRUZ/ASTRAZENECA","13,417","6,788","6,628","0","1","0"
"Arroio Do Meio","00000000430100","RS","Sul","JANSSEN","1,064","0","0","1","472","591"
"Arroio Do Meio","00000000430100","RS","Sul","PFIZER/BIONTECH","18,425","6,262","5,473","470","6,220","0"
"Arroio Do Padre","00000000430107","RS","Sul","BUTANTAN/SINOVAC","1,372","689","683","0","0","0"
"Arroio Do Padre","00000000430107","RS","Sul","FIOCRUZ/ASTRAZENECA","1,788","903","885","0","0","0"
"Arroio Do Padre","00000000430107","RS","Sul","JANSSEN","151","0","0","0","71","80"
"Arroio Do Padre","00000000430107","RS","Sul","PFIZER/BIONTECH","2,222","711","584","24","903","0"
"Arroio Do Sal","00000000430105","RS","Sul","BUTANTAN/SINOVAC","4,542","2,385","2,157","0","0","0"
"Arroio Do Sal","00000000430105","RS","Sul","FIOCRUZ/ASTRAZENECA","7,097","3,570","3,415","0","112","0"
"Arroio Do Sal","00000000430105","RS","Sul","JANSSEN","432","0","0","0","155","277"
